date,barrels,fatalities,cost,price,next_day_price,next_week_price,next_day,next_week
2014-12-24,1924.0,,1031509,58.67,58.72,55.27,1,0
2014-12-25,8.8,,368500,58.67,58.72,55.38,1,0
2014-12-27,1.0,,69000,58.72,57.86,51.08,0,0
2014-12-30,0.0,,79000,55.6,55.27,50.12,0,0
2014-12-30,181.0,,11400,55.6,55.27,50.12,0,0
2015-01-01,65.0,,376902,55.27,55.38,49.43,1,0
2015-01-05,9.52,,328000,51.08,50.12,46.9,0,0
2015-01-05,0.0,,1050,51.08,50.12,46.9,0,0
2015-01-06,0.1,,14000,50.12,49.06,45.13,0,0
2015-01-06,0.0,,4525,50.12,49.06,45.13,0,0
2015-01-07,0.0,,60000,49.06,49.43,45.82,1,0
2015-01-08,100.0,,406250,49.43,47.64,47.66,0,0
2015-01-09,5.0,,45946,47.64,46.9,47.38,0,0
2015-01-09,0.0,,525050,47.64,46.9,47.38,0,0
2015-01-10,27123.0,,782260,47.64,46.9,46.49,0,0
2015-01-12,0.0,,550497,46.9,45.13,46.49,0,0
2015-01-13,0.0,,65770,45.13,45.82,46.49,1,1
2015-01-14,0.48,,6605,45.82,47.66,46.5,1,1
2015-01-14,30.0,,670000,45.82,47.66,46.5,1,1
2015-01-15,1.0,,1480,47.66,47.38,46.09,0,0
2015-01-15,2.5,,2286812,47.66,47.38,46.09,0,0
2015-01-15,0.0,,51250,47.66,47.38,46.09,0,0
2015-01-16,0.0,,210,47.38,46.49,46.69,0,0
2015-01-16,0.0,,16025,47.38,46.49,46.69,0,0
2015-01-17,693.0,,8059063,47.38,46.49,46.07,0,0
2015-01-17,0.0,,169860,47.38,46.49,46.07,0,0
2015-01-19,0.0,,1135,47.38,46.49,46.07,0,0
2015-01-19,2.68,,459408,47.38,46.49,46.07,0,0
2015-01-19,0.0,,72150,47.38,46.49,46.07,0,0
2015-01-20,0.0,,2175,46.49,46.5,46.55,1,1
2015-01-20,0.0,,28075,46.49,46.5,46.55,1,1
2015-01-20,6.9,,501,46.49,46.5,46.55,1,1
2015-01-20,0.0,,11530,46.49,46.5,46.55,1,1
2015-01-21,0.0,,40436,46.5,46.09,47.07,0,1
2015-01-21,480.0,,2816000,46.5,46.09,47.07,0,1
2015-01-22,0.0,,2525,46.09,46.69,46.61,1,1
2015-01-22,0.0,,8400,46.09,46.69,46.61,1,1
2015-01-23,0.0,,3300,46.69,46.07,47.52,0,1
2015-01-24,0.1,,264500,46.69,46.07,51.74,0,1
2015-01-25,0.07,,22004,46.69,46.07,51.74,0,1
2015-01-26,30565.0,,6910591,46.07,46.55,51.74,1,1
2015-01-26,0.0,,82020,46.07,46.55,51.74,1,1
2015-01-26,0.48,,25218,46.07,46.55,51.74,1,1
2015-01-26,24.0,,250500,46.07,46.55,51.74,1,1
2015-01-27,0.0,,152000,46.55,47.07,54.41,1,1
2015-01-29,0.0,,540,46.61,47.52,55.98,1,1
2015-01-30,0.0,,16652,47.52,51.74,55.88,1,1
2015-01-30,0.0,,1000,47.52,51.74,55.88,1,1
2015-01-30,0.0,,4430000,47.52,51.74,55.88,1,1
2015-01-31,0.0,,11911,47.52,51.74,57.0,1,1
2015-02-01,0.0,,38300,47.52,51.74,57.0,1,1
2015-02-01,0.0,,246598,47.52,51.74,57.0,1,1
2015-02-02,0.0,,27629,51.74,54.41,57.0,1,1
2015-02-02,0.0,,625,51.74,54.41,57.0,1,1
2015-02-02,0.0,,40125,51.74,54.41,57.0,1,1
2015-02-03,0.2,,1080,54.41,55.07,55.79,1,1
2015-02-03,0.0,,20160,54.41,55.07,55.79,1,1
2015-02-04,0.0,,256700,55.07,55.98,53.48,1,0
2015-02-05,0.1,,6030,55.98,55.88,56.23,0,1
2015-02-06,0.38,,75,55.88,57.0,60.33,1,1
2015-02-10,0.0,,133235,55.79,53.48,60.78,0,1
2015-02-11,125.0,,269340,53.48,56.23,60.72,1,1
2015-02-11,51.0,,20402,53.48,56.23,60.72,1,1
2015-02-12,2.0,,38708,56.23,60.33,58.78,1,1
2015-02-13,0.0,,29110,60.33,61.57,60.99,1,1
2015-02-16,0.0,,9803,61.57,60.78,59.78,0,0
2015-02-17,0.0,,187000,60.78,60.72,60.33,0,0
2015-02-17,48.0,,2453000,60.78,60.72,60.33,0,0
2015-02-18,0.0,,55500,60.72,58.78,59.77,0,0
2015-02-20,0.0,,13525,60.99,59.78,61.89,0,1
2015-02-21,0.0,,130500,60.99,59.78,60.75,0,0
2015-02-21,0.0,,25010,60.99,59.78,60.75,0,0
2015-02-22,0.0,,8200,60.99,59.78,60.75,0,0
2015-02-23,0.5,,825,59.78,60.33,60.75,1,1
2015-02-23,0.0,,178131,59.78,60.33,60.75,1,1
2015-02-24,4.0,,163100,60.33,59.77,61.18,0,1
2015-02-25,15.0,,525982,59.77,61.39,59.18,1,0
2015-02-27,0.17,,22154,61.89,60.75,59.15,0,0
2015-02-27,0.0,,53527,61.89,60.75,59.15,0,0
2015-02-27,0.0,,5009,61.89,60.75,59.15,0,0
2015-02-27,0.0,,8250,61.89,60.75,59.15,0,0
2015-02-27,23.0,,1602,61.89,60.75,59.15,0,0
2015-03-01,0.0,,3515,61.89,60.75,58.67,0,0
2015-03-01,0.01,,29100,61.89,60.75,58.67,0,0
2015-03-02,0.0,,59880,60.75,61.18,58.67,1,0
2015-03-02,0.33,,21000,60.75,61.18,58.67,1,0
2015-03-02,0.2,,10025,60.75,61.18,58.67,1,0
2015-03-02,0.0,,41100,60.75,61.18,58.67,1,0
2015-03-02,0.48,,15030,60.75,61.18,58.67,1,0
2015-03-02,0.0,,63960,60.75,61.18,58.67,1,0
2015-03-02,0.2,,730002,60.75,61.18,58.67,1,0
2015-03-03,0.0,,2730,61.18,59.18,55.95,0,0
2015-03-04,0.0,,181700,59.18,60.33,56.46,1,0
2015-03-04,10.0,,242656,59.18,60.33,56.46,1,0
2015-03-05,0.0,,18709,60.33,59.15,56.66,0,0
2015-03-06,5.0,,51474,59.15,58.67,54.8,0,0
2015-03-08,12.0,,95252,59.15,58.67,52.0,0,0
2015-03-08,0.0,,331600,59.15,58.67,52.0,0,0
2015-03-09,0.1,,751050,58.67,55.95,52.0,0,0
2015-03-09,0.06,,25100,58.67,55.95,52.0,0,0
2015-03-10,0.33,,2521,55.95,56.46,52.17,1,0
2015-03-10,0.0,,9982,55.95,56.46,52.17,1,0
2015-03-11,5.0,,650465,56.46,56.66,52.59,1,0
2015-03-11,5.0,,650670,56.46,56.66,52.59,1,0
2015-03-12,300.0,,276695,56.66,54.8,52.96,0,0
2015-03-12,5.0,,140200,56.66,54.8,52.96,0,0
2015-03-12,0.0,,6248,56.66,54.8,52.96,0,0
2015-03-13,0.0,,157000,54.8,52.0,53.88,0,0
2015-03-14,0.0,,2860,54.8,52.0,53.82,0,0
2015-03-14,0.0,,107662,54.8,52.0,53.82,0,0
2015-03-15,0.2,,5550,54.8,52.0,53.82,0,0
2015-03-15,0.1,,230050,54.8,52.0,53.82,0,0
2015-03-16,0.0,,30945,52.0,52.17,53.82,1,1
2015-03-16,0.0,,3150,52.0,52.17,53.82,1,1
2015-03-16,0.0,,3335,52.0,52.17,53.82,1,1
2015-03-17,0.0,,1000,52.17,52.59,53.61,1,1
2015-03-18,28.0,,1954200,52.59,52.96,54.18,1,1
2015-03-20,0.0,,5025,53.88,53.82,56.44,0,1
2015-03-20,0.0,,23052,53.88,53.82,56.44,0,1
2015-03-22,0.0,,4000,53.88,53.82,53.99,0,1
2015-03-22,3.0,,150,53.88,53.82,53.99,0,1
2015-03-24,0.0,,4515,53.61,54.18,53.69,1,1
2015-03-24,0.0,,725,53.61,54.18,53.69,1,1
2015-03-24,0.0,,20225,53.61,54.18,53.69,1,1
2015-03-26,0.0,,18390,57.02,56.44,55.73,0,0
2015-03-26,0.0,,3530,57.02,56.44,55.73,0,0
2015-03-26,0.1,,2550,57.02,56.44,55.73,0,0
2015-03-28,0.0,,35000,56.44,53.99,55.73,0,0
2015-03-29,0.0,,95,56.44,53.99,55.73,0,0
2015-03-30,0.0,,142000,53.99,53.69,55.73,0,1
2015-04-01,4.4,,1690,55.73,55.73,56.42,1,1
2015-04-01,0.0,,7585,55.73,55.73,56.42,1,1
2015-04-02,0.0,,5618,55.73,55.73,56.04,1,1
2015-04-06,0.0,,6700,55.73,57.55,57.14,1,1
2015-04-06,0.15,,18757,55.73,57.55,57.14,1,1
2015-04-06,0.0,,1050,55.73,57.55,57.14,1,1
2015-04-08,190.0,,540000,56.42,56.04,59.32,0,1
2015-04-08,0.0,,5000,56.42,56.04,59.32,0,1
2015-04-08,0.0,,40050,56.42,56.04,59.32,0,1
2015-04-10,0.79,,53713,56.82,57.14,61.31,1,1
2015-04-10,0.0,,300150,56.82,57.14,61.31,1,1
2015-04-10,0.0,,491574,56.82,57.14,61.31,1,1
2015-04-11,5.0,,80200,56.82,57.14,61.2,1,1
2015-04-12,0.0,,1951000,56.82,57.14,61.2,1,1
2015-04-12,0.0,,3502,56.82,57.14,61.2,1,1
2015-04-15,0.0,,109519,59.32,60.13,60.12,1,1
2015-04-15,0.0,,18135,59.32,60.13,60.12,1,1
2015-04-15,0.0,,41151,59.32,60.13,60.12,1,1
2015-04-16,2.3,,100,60.13,61.31,62.66,1,1
2015-04-17,0.0,,5070,61.31,61.2,62.96,0,1
2015-04-17,2535.0,,170000,61.31,61.2,62.96,0,1
2015-04-17,0.0,,2850,61.31,61.2,62.96,0,1
2015-04-20,0.0,,530,61.2,60.12,62.86,0,1
2015-04-20,0.0,,40700,61.2,60.12,62.86,0,1
2015-04-20,0.0,,16580,61.2,60.12,62.86,0,1
2015-04-22,0.0,,9365,60.12,62.66,63.97,1,1
2015-04-23,0.0,,924,62.66,62.96,63.9,1,1
2015-04-23,0.0,,109924,62.66,62.96,63.9,1,1
2015-04-23,0.45,,4000,62.66,62.96,63.9,1,1
2015-04-25,0.0,,5075,62.96,62.86,64.62,0,1
2015-04-25,0.0,,18230,62.96,62.86,64.62,0,1
2015-04-25,0.0,,6215,62.96,62.86,64.62,0,1
2015-04-26,0.05,,25765,62.96,62.86,64.62,0,1
2015-04-27,0.0,,10540,62.86,62.61,64.62,0,1
2015-04-27,0.0,,39695,62.86,62.61,64.62,0,1
2015-04-27,0.0,,105230,62.86,62.61,64.62,0,1
2015-04-29,0.0,,5000,63.97,63.9,66.22,0,1
2015-04-29,0.0,,137575,63.97,63.9,66.22,0,1
2015-04-29,0.0,,31040,63.97,63.9,66.22,0,1
2015-04-29,0.0,,6030,63.97,63.9,66.22,0,1
2015-04-29,0.0,,45100,63.97,63.9,66.22,0,1
2015-05-02,0.0,,2590,64.13,64.62,62.82,1,0
2015-05-03,0.0,,21638,64.13,64.62,62.82,1,0
2015-05-04,88.0,,2700932,64.62,65.44,62.82,1,0
2015-05-04,0.0,,55500,64.62,65.44,62.82,1,0
2015-05-04,4.5,,12025,64.62,65.44,62.82,1,0
2015-05-06,0.0,,3250,66.22,64.93,66.33,0,1
2015-05-07,0.0,,2550,64.93,63.82,65.58,0,1
2015-05-08,3.0,,524139,63.82,62.82,64.69,0,1
2015-05-08,0.0,,44450,63.82,62.82,64.69,0,1
2015-05-08,0.0,,8180,63.82,62.82,64.69,0,1
2015-05-09,0.0,,11330,63.82,62.82,65.15,0,1
2015-05-10,0.0,,14790,63.82,62.82,65.15,0,1
2015-05-11,20.0,,2212822,62.82,65.09,65.15,1,1
2015-05-11,0.1,,86000,62.82,65.09,65.15,1,1
2015-05-12,0.1,,19000,65.09,66.33,63.48,1,0
2015-05-13,0.0,,3494,66.33,65.58,63.52,0,0
2015-05-14,0.0,,3075,65.58,64.69,64.7,0,0
2015-05-15,0.0,,35100,64.69,65.15,64.7,1,1
2015-05-18,0.0,,42065,65.15,63.48,61.65,0,0
2015-05-18,1.0,,358600,65.15,63.48,61.65,0,0
2015-05-19,0.0,,500,63.48,63.52,61.65,1,0
2015-05-19,1834.0,,142931884,63.48,63.52,61.65,1,0
2015-05-20,0.0,,3265,63.52,64.7,61.35,1,0
2015-05-20,770.0,,32000,63.52,64.7,61.35,1,0
2015-05-21,0.0,,15500,64.7,64.7,60.12,1,0
2015-05-21,0.0,,12410,64.7,64.7,60.12,1,0
2015-05-21,0.0,,4350,64.7,64.7,60.12,1,0
2015-05-23,0.0,,5578,64.7,61.65,62.87,0,0
2015-05-25,6.2,,1005340,64.7,61.65,62.87,0,0
2015-05-25,0.0,,2520,64.7,61.65,62.87,0,0
2015-05-26,0.0,,210019,61.65,61.35,63.14,0,1
2015-05-27,0.0,,15000,61.35,60.12,62.78,0,1
2015-05-28,3.0,,30163,60.12,63.16,60.34,1,1
2015-05-28,0.5,,1500,60.12,63.16,60.34,1,1
2015-05-29,0.0,,3660000,63.16,62.87,60.36,0,0
2015-05-31,0.0,,44470,63.16,62.87,61.33,0,0
2015-05-31,10.0,,127056,63.16,62.87,61.33,0,0
2015-06-01,1.8,,67855,62.87,63.14,61.33,1,0
2015-06-01,0.0,,5000,62.87,63.14,61.33,1,0
2015-06-02,0.0,,106719,63.14,62.78,63.23,0,1
2015-06-02,0.0,,5935,63.14,62.78,63.23,0,1
2015-06-02,0.0,,80045,63.14,62.78,63.23,0,1
2015-06-05,0.0,,11700,60.36,61.33,63.19,1,1
2015-06-05,1.5,,11083,60.36,61.33,63.19,1,1
2015-06-06,0.0,,8075,60.36,61.33,60.99,1,1
2015-06-06,0.25,,5525,60.36,61.33,60.99,1,1
2015-06-07,0.5,,30030,60.36,61.33,60.99,1,1
2015-06-07,0.0,,5000,60.36,61.33,60.99,1,1
2015-06-08,0.0,,9548,61.33,63.23,60.99,1,0
2015-06-09,0.0,,2900,63.23,64.68,60.75,1,0
2015-06-10,0.0,,2200,64.68,63.76,60.75,0,0
2015-06-11,0.0,,15200,63.76,63.19,61.37,0,0
2015-06-12,0.0,,25584,63.19,60.99,59.41,0,0
2015-06-14,0.4,,2540,63.19,60.99,60.54,0,0
2015-06-15,0.0,,5000,60.99,60.75,60.54,0,0
2015-06-16,4.05,,8024,60.75,60.75,61.67,1,1
2015-06-16,0.0,,132200,60.75,60.75,61.67,1,1
2015-06-16,1609.0,,149677,60.75,60.75,61.67,1,1
2015-06-18,8000.0,,1042447,61.37,59.41,60.24,0,0
2015-06-18,315.0,,438976,61.37,59.41,60.24,0,0
2015-06-19,2.0,,11300,59.41,60.54,60.14,1,1
2015-06-19,200.0,,664751,59.41,60.54,60.14,1,1
2015-06-22,4.71,,1240000,60.54,61.67,59.03,1,0
2015-06-22,976.0,1.0,776753,60.54,61.67,59.03,1,0
2015-06-23,1.0,,330,61.67,61.63,60.31,0,0
2015-06-23,0.0,,68010,61.67,61.63,60.31,0,0
2015-06-23,0.01,,80000,61.67,61.63,60.31,0,0
2015-06-23,0.36,,33022,61.67,61.63,60.31,0,0
2015-06-25,6.0,,240,60.24,60.14,61.73,0,1
2015-06-26,0.0,,9920,60.14,59.03,59.06,0,0
2015-06-29,0.04,,150002,59.03,60.31,57.19,1,0
2015-06-30,0.0,,415000,60.31,61.65,54.72,1,0
2015-06-30,0.0,,44847,60.31,61.65,54.72,1,0
2015-07-02,0.0,,12520,61.73,59.06,57.83,0,0
2015-07-05,0.0,,1355,59.06,57.19,57.63,0,0
2015-07-06,0.0,,34015,57.19,54.72,57.63,0,1
2015-07-07,0.0,,100000,54.72,55.7,57.2,1,1
2015-07-07,0.0,,350007,54.72,55.7,57.2,1,1
2015-07-07,0.24,,17250,54.72,55.7,57.2,1,1
2015-07-09,4.5,,41676,57.83,57.72,57.31,0,0
2015-07-09,5.0,,6254,57.83,57.72,57.31,0,0
2015-07-10,44.0,,6281206,57.72,57.63,56.38,0,0
2015-07-11,0.0,,3825,57.72,57.63,56.42,0,0
2015-07-12,0.0,,20300,57.72,57.63,56.42,0,0
2015-07-12,0.0,,37365,57.72,57.63,56.42,0,0
2015-07-13,2.0,,1684,57.63,57.2,56.42,0,0
2015-07-13,11.5,,1640091,57.63,57.2,56.42,0,0
2015-07-14,0.0,,35000,57.2,57.34,55.94,1,0
2015-07-15,1.43,,20083,57.34,57.31,56.36,0,0
2015-07-15,0.0,,50120,57.34,57.31,56.36,0,0
2015-07-15,0.0,,19781,57.34,57.31,56.36,0,0
2015-07-16,0.0,,102350,57.31,56.38,55.76,0,0
2015-07-16,0.0,,2800,57.31,56.38,55.76,0,0
2015-07-20,0.6,,120,56.42,55.94,54.07,0,0
2015-07-20,5.58,,296722,56.42,55.94,54.07,0,0
2015-07-20,100.0,,182250,56.42,55.94,54.07,0,0
2015-07-20,0.0,,86964,56.42,55.94,54.07,0,0
2015-07-20,27.0,,600,56.42,55.94,54.07,0,0
2015-07-22,208.0,,294872,56.36,55.76,54.73,0,0
2015-07-22,0.0,,281840,56.36,55.76,54.73,0,0
2015-07-22,5.0,,149975,56.36,55.76,54.73,0,0
2015-07-24,0.0,,5000,54.29,54.07,53.29,0,0
2015-07-26,0.0,,5000,54.29,54.07,49.49,0,0
2015-07-27,0.0,,1100,54.07,54.3,49.49,1,0
2015-07-27,0.0,,93654,54.07,54.3,49.49,1,0
2015-07-27,1.6,,3350,54.07,54.3,49.49,1,0
2015-07-28,0.0,,10085,54.3,54.73,49.08,1,0
2015-07-28,17.3,,19052,54.3,54.73,49.08,1,0
2015-07-28,0.0,,18450,54.3,54.73,49.08,1,0
2015-07-28,0.0,,10771,54.3,54.73,49.08,1,0
2015-07-30,1.0,,30000,54.29,53.29,47.8,0,0
2015-07-31,0.0,,65000,53.29,49.49,47.54,0,0
2015-07-31,0.0,,2600,53.29,49.49,47.54,0,0
2015-08-01,0.0,,51480,53.29,49.49,48.3,0,0
2015-08-01,1.6,,725,53.29,49.49,48.3,0,0
2015-08-02,156.0,,62457,53.29,49.49,48.3,0,0
2015-08-04,0.0,,12775,49.08,49.04,47.33,0,0
2015-08-04,28.3,,480266,49.08,49.04,47.33,0,0
2015-08-05,0.0,,8000,49.04,47.8,48.29,0,0
2015-08-06,0.47,,5050,47.8,47.54,48.01,0,1
2015-08-06,2.0,,321155,47.8,47.54,48.01,0,1
2015-08-06,1300.0,,625000,47.8,47.54,48.01,0,1
2015-08-09,93.85,,6000,47.54,48.3,47.77,1,1
2015-08-10,0.0,,35050,48.3,47.33,47.77,0,0
2015-08-11,0.0,,0,47.33,48.29,47.0,1,0
2015-08-11,0.0,,18500,47.33,48.29,47.0,1,0
2015-08-11,0.6,,26098,47.33,48.29,47.0,1,0
2015-08-12,3.0,,6300,48.29,48.01,45.75,0,0
2015-08-13,25.0,,195750,48.01,47.79,45.63,0,0
2015-08-15,0.0,,28137,47.79,47.77,41.59,0,0
2015-08-17,0.0,,37107,47.77,47.0,41.59,0,0
2015-08-18,0.0,,441,47.0,45.75,41.86,0,0
2015-08-19,0.0,,820,45.75,45.63,41.76,0,0
2015-08-19,945.6,,622321,45.75,45.63,41.76,0,0
2015-08-19,0.1,,8398,45.75,45.63,41.76,0,0
2015-08-20,0.0,,1576,45.63,43.84,44.46,0,0
2015-08-21,0.0,,51150,43.84,41.59,47.97,0,1
2015-08-21,0.07,,55003,43.84,41.59,47.97,0,1
2015-08-21,0.0,,22000,43.84,41.59,47.97,0,1
2015-08-24,0.1,,0,41.59,41.86,48.8,1,1
2015-08-24,1.0,,1150,41.59,41.86,48.8,1,1
2015-08-25,0.5,,820,41.86,41.76,48.8,0,1
2015-08-25,0.0,,42430,41.86,41.76,48.8,0,1
2015-08-25,28.0,,10065,41.86,41.76,48.8,0,1
2015-08-25,0.0,,8342,41.86,41.76,48.8,0,1
2015-08-25,26.0,,815,41.86,41.76,48.8,0,1
2015-08-27,1.5,,365145,44.46,47.97,50.41,1,1
2015-08-28,0.0,,49150,47.97,48.8,48.59,1,1
2015-08-28,0.0,,1500,47.97,48.8,48.59,1,1
2015-08-31,0.35,,7367,47.97,48.8,46.42,1,0
2015-08-31,0.0,,167700,47.97,48.8,46.42,1,0
2015-09-01,1.0,,5045,48.8,47.67,48.88,0,1
2015-09-01,0.0,,529158,48.8,47.67,48.88,0,1
2015-09-01,0.0,,196600,48.8,47.67,48.88,0,1
2015-09-02,0.0,,3770,47.67,50.41,48.04,1,1
2015-09-02,0.0,,3113,47.67,50.41,48.04,1,1
2015-09-02,0.0,,45185,47.67,50.41,48.04,1,1
2015-09-02,0.0,,115500,47.67,50.41,48.04,1,1
2015-09-03,0.1,,150001,50.41,48.59,47.77,0,0
2015-09-05,0.0,,2545,48.59,46.42,45.87,0,0
2015-09-08,0.0,,22950,48.88,48.04,45.91,0,0
2015-09-08,0.0,,103770,48.88,48.04,45.91,0,0
2015-09-09,75.0,,72225,48.04,47.77,49.35,0,1
2015-09-09,20.0,,545000,48.04,47.77,49.35,0,1
2015-09-10,3.0,,35336,47.77,46.87,48.27,0,1
2015-09-11,2.26,,92623,46.87,45.87,47.28,0,1
2015-09-11,0.0,,8600,46.87,45.87,47.28,0,1
2015-09-13,0.0,,274700,46.87,45.87,47.64,0,1
2015-09-15,115.0,,11500,45.91,49.35,46.69,1,1
2015-09-15,0.0,,15500,45.91,49.35,46.69,1,1
2015-09-16,100.0,,1200000,49.35,48.27,48.0,0,0
2015-09-17,0.0,,130000,48.27,47.28,47.06,0,0
2015-09-19,0.09,,6030,47.28,47.64,46.04,1,0
2015-09-19,0.0,,53000,47.28,47.64,46.04,1,0
2015-09-21,0.6,,41675,47.64,46.69,46.04,0,0
2015-09-21,0.0,,60747,47.64,46.69,46.04,0,0
2015-09-21,39.67,,14642600,47.64,46.69,46.04,0,0
2015-09-22,0.0,,766270,46.69,48.0,47.58,1,1
2015-09-22,2.0,,3585,46.69,48.0,47.58,1,1
2015-09-23,0.0,,428443,48.0,47.06,47.29,0,0
2015-09-24,0.0,,10250,47.06,47.28,47.48,1,1
2015-09-24,0.0,,29250,47.06,47.28,47.48,1,1
2015-09-24,6.0,,134289,47.06,47.28,47.48,1,1
2015-09-25,0.2,,300000,47.28,46.04,46.55,0,0
2015-09-26,0.0,,43349,47.28,46.04,49.45,0,1
2015-09-26,0.39,,1020,47.28,46.04,49.45,0,1
2015-09-27,20.0,,1600,47.28,46.04,49.45,0,1
2015-09-28,0.0,,10300,46.04,47.58,49.45,1,1
2015-09-28,0.5,,70020,46.04,47.58,49.45,1,1
2015-09-29,0.0,,215600,47.58,47.29,51.34,0,1
2015-09-30,0.0,,45020,47.29,47.48,51.66,1,1
2015-09-30,0.0,,5300,47.29,47.48,51.66,1,1
2015-10-02,0.0,,11607,46.55,49.45,52.08,1,1
2015-10-04,0.0,,3025,46.55,49.45,50.95,1,1
2015-10-05,0.0,,1173341,49.45,51.34,50.95,1,1
2015-10-06,0.0,,11013,51.34,51.66,48.94,1,0
2015-10-07,1.38,,133479,51.66,52.13,48.25,1,0
2015-10-07,0.0,,56,51.66,52.13,48.25,1,0
2015-10-07,0.5,,410,51.66,52.13,48.25,1,0
2015-10-08,5.0,,40,52.13,52.08,47.87,0,0
2015-10-09,0.0,,2359,52.08,50.95,48.96,0,0
2015-10-10,0.0,,4350,52.08,50.95,47.51,0,0
2015-10-11,0.0,,810,52.08,50.95,47.51,0,0
2015-10-11,0.0,,5935,52.08,50.95,47.51,0,0
2015-10-12,2.0,,375131,50.95,48.94,47.51,0,0
2015-10-12,1.0,,2240,50.95,48.94,47.51,0,0
2015-10-12,8.0,,174792,50.95,48.94,47.51,0,0
2015-10-13,0.0,,5026,48.94,48.25,46.93,0,0
2015-10-13,0.0,,47892,48.94,48.25,46.93,0,0
2015-10-15,10.0,,123584,47.87,48.96,46.59,1,0
2015-10-15,0.2,,304000,47.87,48.96,46.59,1,0
2015-10-15,0.2,,375000,47.87,48.96,46.59,1,0
2015-10-15,0.0,,47584,47.87,48.96,46.59,1,0
2015-10-16,0.0,,32088,48.96,47.51,46.3,0,0
2015-10-16,12.0,,436800,48.96,47.51,46.3,0,0
2015-10-19,2.0,,15280,47.51,46.93,46.57,0,0
2015-10-19,0.05,,162001,47.51,46.93,46.57,0,0
2015-10-20,0.0,,25575,46.93,46.72,45.54,0,0
2015-10-21,0.0,,133000,46.72,46.59,47.6,0,1
2015-10-21,0.0,,46280,46.72,46.59,47.6,0,1
2015-10-22,0.0,,354261,46.59,46.3,48.04,0,1
2015-10-22,0.5,,70,46.59,46.3,48.04,0,1
2015-10-22,0.0,,75117,46.59,46.3,48.04,0,1
2015-10-23,5.0,,107000,46.3,46.57,48.0,1,1
2015-10-23,0.0,,19949,46.3,46.57,48.0,1,1
2015-10-24,0.0,,19550,46.3,46.57,47.91,1,1
2015-10-26,20.0,,1775840,46.57,45.54,47.91,0,1
2015-10-26,0.0,,16200,46.57,45.54,47.91,0,1
2015-10-27,0.0,,46658,45.54,47.6,48.0,1,1
2015-10-27,0.0,,3000,45.54,47.6,48.0,1,1
2015-10-27,0.0,,15851,45.54,47.6,48.0,1,1
2015-10-28,3.0,,274836,47.6,48.04,46.96,1,0
2015-10-28,0.35,,6350,47.6,48.04,46.96,1,0
2015-10-29,0.0,,6600,48.04,48.0,47.19,0,0
2015-10-29,4.0,,1060,48.04,48.0,47.19,0,0
2015-10-29,0.0,,1000,48.04,48.0,47.19,0,0
2015-10-30,4.0,,760,48.0,47.91,46.09,0,0
2015-10-30,4.0,,47150,48.0,47.91,46.09,0,0
2015-11-01,19.0,,20800,48.0,47.91,45.38,0,0
2015-11-01,38.0,,23288,48.0,47.91,45.38,0,0
2015-11-02,0.0,,171374,47.91,48.0,45.38,1,0
2015-11-02,10.0,,14135,47.91,48.0,45.38,1,0
2015-11-02,0.0,,19010,47.91,48.0,45.38,1,0
2015-11-03,24.0,,547,48.0,46.96,46.44,0,0
2015-11-03,6.0,,10000,48.0,46.96,46.44,0,0
2015-11-03,0.0,,600,48.0,46.96,46.44,0,0
2015-11-03,0.0,,19504,48.0,46.96,46.44,0,0
2015-11-04,0.2,,27580,46.96,47.19,44.98,1,0
2015-11-04,0.0,,10000,46.96,47.19,44.98,1,0
2015-11-04,30.0,,10329,46.96,47.19,44.98,1,0
2015-11-05,0.0,,196960,47.19,46.09,44.98,0,0
2015-11-05,51.0,,466625,47.19,46.09,44.98,0,0
2015-11-05,0.1,,1002,47.19,46.09,44.98,0,0
2015-11-06,0.0,,1150,46.09,45.38,41.98,0,0
2015-11-06,0.2,,27580,46.09,45.38,41.98,0,0
2015-11-07,0.2,,27580,46.09,45.38,40.28,0,0
2015-11-09,0.0,,339771,45.38,46.44,40.28,1,0
2015-11-09,0.0,,252687,45.38,46.44,40.28,1,0
2015-11-10,0.02,,253300,46.44,44.98,41.28,0,0
2015-11-10,0.0,,3665,46.44,44.98,41.28,0,0
2015-11-10,1.0,,68041,46.44,44.98,41.28,0,0
2015-11-11,5.0,,6200,44.98,44.98,41.45,1,0
2015-11-11,0.2,,27580,44.98,44.98,41.45,1,0
2015-11-11,0.0,,8015,44.98,44.98,41.45,1,0
2015-11-12,0.0,,10000,44.98,41.98,42.22,0,0
2015-11-14,0.7,,3077,41.98,40.28,43.7,0,1
2015-11-16,0.0,,4236,40.28,41.28,43.7,1,1
2015-11-17,220.0,,1807920,41.28,41.45,44.38,1,1
2015-11-17,0.47,,52952,41.28,41.45,44.38,1,1
2015-11-18,1.0,,44884,41.45,42.22,43.56,1,1
2015-11-18,2.0,,12075,41.45,42.22,43.56,1,1
2015-11-20,1181.0,,2825,42.49,43.7,43.07,1,1
2015-11-21,0.0,,30344,42.49,43.7,43.73,1,1
2015-11-23,0.0,,145310,43.7,44.38,43.73,1,1
2015-11-25,0.0,,13540,43.56,43.55,41.92,0,0
2015-11-27,0.0,,404727,43.07,43.73,41.44,1,0
2015-11-30,14.0,,45200,43.73,42.97,39.69,0,0
2015-12-01,4.0,,13900,42.97,41.92,39.44,0,0
2015-12-01,0.0,,40040,42.97,41.92,39.44,0,0
